名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665041,794939,603,100.3万,335,7,10,32271人,都市言情
全民天师：我的金光咒能无限升级,1423185,334751,89,1.6万,76,0,10,20916人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
忍界金榜：开局被曝光是宇智波,810829,95602,36,22.7万,74,1,10,9998人,同人小说
拍摄特一，百万考生报名参军,969406,137146,17,15.4万,53,1,10,5014人,军事历史
荣耀城堡：我招募天使，横扫万界,10243379,2674456,1396,33.3万,131,2,10,194220人,玄幻奇幻
洪荒：师尊去封神，我却解散截教,1032239,114928,22,60.1万,20,0,10,1390人,玄幻奇幻
田径：我，短跑之王,1195016,322008,82,32万,261,1,10,16547人,都市言情
全提瓦特大陆都方了，能不直播吗,1760507,314839,144,3.4万,112,0,10,21302人,同人小说
全球精灵：精灵都是病娇怎么办？,1075072,213365,88,19.1万,110,0,10,21087人,同人小说
报告首长，母舰凌霄宝殿已就位！,1816935,290968,258,20.8万,100,1,10,14948人,都市言情
大清：从麻匪头子到世界级帝王,2467739,355267,66,1.5万,59,0,10,29738人,军事历史
西游：开局拍卖一方世界！,1944195,162975,90,2.3万,43,0,10,17536人,武侠仙侠
武侠：宅在同福的天机公子,1248699,174373,18,55万,49,0,10,10084人,武侠仙侠
武侠：我的仙人身份被曝光了,3079487,160201,224,8428,33,0,10,15635人,武侠仙侠
洪荒：我赵公明也是有追求的,760679,88225,5,788,41,0,10,4769人,武侠仙侠
当兵：从军校开始,9415042,2354834,779,18.8万,164,0,10,148258人,军事历史
光之国金榜：开局曝光所有人间体,1910760,125929,74,12.9万,90,0,10,12899人,同人小说
大明：朱元璋夹菜时，坑哭朱标,856327,139100,28,73.2万,55,0,10,5469人,军事历史
四合院：棒梗偷鸡反咬我？腿打断,891890,114169,15,13.2万,6,0,10,7395人,同人小说
武侠：开局娶黄蓉，签到大雪龙骑,621442,398900,44,25.5万,256,0,10,25523人,武侠仙侠
全民转职：开局全点防御天赋,1001745,381992,75,42.7万,231,0,10,15653人,都市言情
女儿抑郁症死亡后，我重生了！,2574281,1057609,669,22.1万,128,0,10,73131人,都市言情
武侠视频：开局盘点十大修仙武学,4203475,414782,121,1万,34,0,10,45597人,武侠仙侠
武侠：从七侠镇走出的绝世高手,654701,176561,14,52.3万,217,0,10,9926人,武侠仙侠
四合院：从电工开始,1239481,222156,116,1.3万,69,2,10,12959人,同人小说
打造最强百兽团：全员幻兽种,706246,230304,54,53万,228,0,10,12703人,同人小说
赚够一百亿，系统才激活,7980172,1188797,247,24.6万,83,0,10,88537人,都市言情
魔神时代！我无限合成神圣天使！,670598,247027,48,55.8万,178,1,10,20639人,玄幻奇幻
港片：枭雄从慈云山开始制霸,579820,127355,0,31.1万,82,0,10,7018人,同人小说
典藏华夏：我打造节目，对话古今,12543067,11085360,6792,161.6万,141,34,10,393079人,都市言情
原神：转生成幕府大将的那点事,1010609,149189,71,3.2万,147,2,10,13486人,科幻网游
分享护林日常：我捡只金渐层傍身,3263590,1393994,498,9.4万,243,0,10,65977人,都市言情
说好假盗墓，你这麒麟纹身咋回事,983059,234168,64,2.5万,47,0,10,9539人,都市言情
人在综漫：开局扮演安倍晴明,2979682,853169,392,4.8万,117,1,10,87505人,同人小说
疯了吧，撩我干嘛？我是反派啊！,792665,50702,38,41.7万,55,3,10,5481人,都市言情
视频通武侠：修仙的我瞒不住了,1642422,140079,82,7888,38,0,10,12728人,武侠仙侠
三霄遗言：其实我们还有个大师兄,691938,131643,7,125万,7,0,10,754人,玄幻奇幻
苟成仙的我，被诸天盘点曝光了,3502437,278273,125,9204,57,0,10,31648人,同人小说
洪荒：开局把诸天上交给通天教主,1392750,109272,47,33.3万,7,0,10,5887人,玄幻奇幻
我！未来时空破坏神，开局变超五,605789,202220,6,55.2万,120,0,10,7781人,同人小说
美食：从大学食堂掌大勺开始,2172580,293745,107,8064,78,1,10,22860人,都市言情
家住鬼镇：女儿玩伴都是厉鬼,771310,119213,46,26万,90,0,10,10048人,恐怖灵异
反派：偷看日记，女主们人设崩了,3517614,1272667,493,7.7万,67,0,10,62164人,都市言情
此刻，整个江湖在天师一人之下！,978962,1767218,7,1.1万,25,0,10,9055人,武侠仙侠
毒宠奶爸：女儿宠物全是致命毒物,1540830,166950,149,3.1万,28,1,10,13609人,都市言情
直播算命：水友你头上有点绿,6675424,1640638,656,9.7万,97,1,10,126004人,都市言情
四合院：霸占我房子，还要我滚？,512703,60968,0,18.7万,1,0,10,1538人,同人小说
洪荒：我北海玄龟，自行撑天！,532701,25548,0,21.1万,14,0,10,3384人,武侠仙侠
穿成女反派管家，老板你不对劲啊,515570,123599,9,70.3万,65,1,10,5242人,都市言情
我能复制天赋,45365608,7512795,4964,60.6万,88,633,10,906801人,玄幻奇幻
开局被希罗娜退婚：转手毁灭神奥,612409,158965,85,9292,41,0,10,13620人,同人小说
大秦：熊孩子监国，开局杀赵高,2012563,145452,137,10.6万,42,0,10,13283人,军事历史
代管火凤凰，我竟成了魔神教官,727560,61496,40,2700,52,0,10,5762人,军事历史
全民奇迹：开局获得火种源,1691742,372994,46,26.4万,90,0,10,28845人,都市言情
我专业开锁，你锁我车，闹呢！,910918,238429,57,2.6万,66,0,10,10010人,都市言情
次元视频 ：盘点次元不正经人物,1126487,60728,29,52.1万,17,0,10,6477人,同人小说
开局制作精灵游戏：主播玩疯了！,752332,237059,64,23万,179,0,10,19116人,都市言情
重生1978：从今天开始当大亨,2845808,318277,110,33.5万,77,0,10,36677人,都市言情
震惊！他在民国就是首富了,1024174,259372,44,2万,132,3,10,22504人,军事历史
儿子是重生者，我能听到他心声,7308963,1011955,270,2.3万,58,0,10,75821人,都市言情
我拍摄盗笔，考古队现场抄作业,507080,151775,67,34.1万,101,0,10,8718人,都市言情
精灵:我的王牌是四圣兽,774030,100641,23,37.2万,69,0,10,17584人,同人小说
开局司空震雷神法相，被校花直播,2491297,513781,548,4.3万,103,0,10,33187人,都市言情
洪荒：夭寿了，这只金乌太苟了,823259,109796,2,66.7万,107,0,10,7051人,玄幻奇幻
玄幻：提取杂质，火鸡变凤凰！,972385,233173,376,46.8万,152,0,10,12406人,玄幻奇幻
民国：在美洲修仙,1403495,283664,45,11.3万,68,0,10,15298人,军事历史
玄幻：无限制修改的我，独断万古！,5577376,1553050,868,53.6万,118,6,10,104056人,玄幻奇幻
武侠：刚修仙，就被天道盘点了？,775971,49246,10,2600,15,0,10,5419人,武侠仙侠
剧透美漫多元宇宙：开局直播复联,8356627,1005272,1028,217.7万,34,1,10,82583人,同人小说
开局掉落万年修为，我疯狂升级！,792433,134092,39,58.6万,64,0,10,6031人,都市言情
驯养师：我在玄武后背建家园,20127279,5692887,2600,127.1万,119,11,10,462843人,玄幻奇幻
联盟：闪现撞墙后，我无敌了,631575,122293,9,92.2万,133,0,10,6851人,科幻网游
超次元攻略：从蝙蝠侠开始,699829,78705,58,22.3万,50,0,10,6628人,同人小说
四合院：咸鱼许大茂，都别惹我,440418,37149,5,2100,19,0,10,2642人,都市言情
反派：女主偷听我心声，人设崩了,1311017,94795,134,21.1万,44,1,10,9447人,都市言情
玄幻：我！开局一座拍卖场,1674777,379885,61,227.1万,94,0,10,11130人,玄幻奇幻
重生1950：开局打捞黄金船,483911,71621,13,2564,41,0,10,6769人,都市言情
特种兵：开局掌管孤狼！,713539,45234,12,1188,39,0,10,4063人,军事历史
全民海岛：开局捡尸美杜莎女王！,729597,107782,6,15.3万,136,0,10,11400人,玄幻奇幻
四合院：开局地窖求生，别来惹我,1495942,302389,49,14.3万,9,1,10,15349人,同人小说
综漫：同时穿越无数世界,9509053,1690343,695,118.6万,65,0,10,183441人,同人小说
三国：掌天地人，助刘备谋定天下,598169,133722,14,43.2万,77,0,10,6880人,军事历史
四合院：秦淮茹要我女儿捐眼角膜,833691,16019,12,100,0,0,10,2662人,同人小说
往生酒店：我在人间典生当死！,1578613,133025,45,10.7万,58,0,10,8010人,恐怖灵异
都市：我有人生重置模拟器,2723683,516355,427,48.8万,156,0,10,47232人,都市言情
我，漩涡老祖，开局继承狱血魔神,665556,122989,13,75.5万,25,0,10,7277人,同人小说
惊悚游戏：大哥，你过分了啊！,704022,196752,12,8.9万,219,0,10,17109人,恐怖灵异
投资之神，癌症后我偷偷立下遗嘱,3946000,1418489,1326,17.9万,35,7,10,62975人,都市言情
四合院：从傻柱邻居开始,1665177,517039,87,54.9万,117,1,10,26978人,同人小说
全民领主：兵种都是sss级天赋,1398970,157720,225,13.3万,50,4,10,14151人,玄幻奇幻
直播：贫道真没想人前显圣啊！,5728147,1114057,660,53.2万,22,0,10,63345人,都市言情
终级系列：我，十二时空幕后大佬,702568,219982,28,60.4万,81,1,10,16497人,同人小说
某综漫的神圣右方,40527549,6838581,1180,66.8万,119,91,10,1060132人,同人小说
绝了！我的信徒都是满级人类！,1242737,438002,138,166.9万,78,0,10,17001人,玄幻奇幻
穿书成反派，女主们的人设崩坏了,4213455,1791905,1154,34.4万,67,2,10,119039人,都市言情
大秦：开局献上凌云窟副本,5203913,871247,310,26.2万,51,1,10,87322人,军事历史
大明：朱老头，你别乱认孙子！,2156397,359881,143,5.6万,79,0,10,18535人,军事历史
四合院：开局让许大茂成太监,1458498,65378,19,1400,7,2,10,6522人,同人小说
全民数据化时代：开局百倍增幅,4256155,987937,193,75.4万,123,0,10,94014人,都市言情
我仙秦龙帝，被盘点十大祖龙曝光,1757299,219595,112,1.2万,51,0,10,16993人,玄幻奇幻
游戏王：从电子龙开始,739965,80900,66,1万,26,0,10,5750人,同人小说
王者：刚入xyg，大仙求我上场,433527,116680,33,73.5万,57,0,10,6888人,科幻网游
四合院：别惹我，我只想做好人,833046,57240,1,14万,3,0,10,2210人,同人小说
我是人生大赢家,26982163,17062030,3372,221.7万,167,19,10,1068627人,都市言情
特种兵：长得太凶，被派去当卧底,2623155,485171,159,6.1万,61,1,10,19793人,军事历史
人在冰帝，我！世界破坏者,1322705,189876,79,30.7万,37,0,10,20200人,同人小说
顶上战争：开局帮雷利抽到茅台酒,1158937,101402,112,27万,53,0,10,11581人,同人小说
武侠：在下王也，武当小师叔！,1573889,294705,86,3976,23,0,10,14034人,同人小说
大秦：投奔舅舅赵高却被献给太后,858569,147214,67,20万,109,0,10,19195人,军事历史
游戏里为国家造了支航母舰队,3785421,810265,557,7.6万,67,0,10,66114人,科幻网游
穿书反派：女主们都重生了！,1194409,112856,72,7.8万,25,1,10,7846人,都市言情
直播：拯救濒危，开局签到鬼背,705031,160850,54,57.4万,24,1,10,5597人,都市言情
坐拥三千主神，诸天第一禁忌,2302028,414510,127,55.1万,23,0,10,24710人,都市言情
全民领主：从零开始打造不朽仙域,6440089,1591751,478,36.5万,89,0,10,114815人,玄幻奇幻
三国：开局大雪龙骑，打造大秦,1080912,137844,3,168万,24,0,10,7497人,军事历史
为入空军，公布脉冲爆震发动机,753989,211868,46,35.6万,202,0,10,9278人,军事历史
重生之枭雄崛起,22217725,5767989,1397,63.9万,407,40,10,511662人,都市言情
玄幻：我！天命大反派,38462907,4627410,4271,93.7万,51,629,10,465641人,玄幻奇幻
诸天：开局上传先天五太大罗法,3480808,552816,230,1.9万,41,1,10,40416人,武侠仙侠
网游：怕痛的我，属性全加防御了,726784,139923,22,80.2万,26,0,10,4321人,科幻网游
大秦:五岁皇孙，把亲爹压入大牢,951255,43900,18,2888,12,0,10,3171人,军事历史
玄幻：我，究极反派，万古第一黑手,670813,125067,17,89.6万,111,0,10,5885人,玄幻奇幻
说好的罗汉拳，怎么成如来神掌啦,1328313,344747,185,59.7万,359,2,10,13972人,武侠仙侠
娱乐：夭寿啦！你管这叫网络歌手,2386224,502408,127,58.5万,65,0,10,26453人,都市言情
什么职业选手？我打的不是白银吗,491116,23518,15,8.5万,35,0,10,2668人,科幻网游
直播指点考古队，我竟拥有麒麟血,5907426,1173818,1016,8.8万,18,0,10,82546人,都市言情
天骄榜现世，我夫人竟是移花宫主,465994,91039,5,3664,108,0,10,8262人,武侠仙侠
为了专升本，开局公布可控核聚变,3175726,480220,475,21.9万,20,0,10,21261人,都市言情
让你做手枪，这机甲什么鬼？,6797768,1826407,1017,12.9万,12,1,10,92742人,都市言情
四合院：禽兽都滚，谁惹坑谁,384257,47242,5,6.1万,19,0,10,3077人,同人小说
我，大秦圣孙，开局赞同扶苏被贬,1936854,105023,40,4676,25,0,10,9827人,军事历史
王者：我，随机一个位置无敌！,1628002,165680,111,1.8万,15,0,10,14740人,科幻网游
全球异变：没异能的我自己写功法,468355,166934,14,50.4万,85,0,10,6666人,都市言情
女装反派：开局气运之子来寻仇！,1496361,371648,199,115.6万,251,2,10,29901人,玄幻奇幻
我，洛克斯船上的最强青龙,1456746,145669,68,24.9万,13,0,10,12819人,同人小说
盘点十大救世主:开局炎龙王纳兹,388879,35486,16,6364,19,0,10,3480人,同人小说
大明：朱棣：让你监国没让你换代,859569,14193,1,1588,7,0,10,1269人,军事历史
都市：我是世界大亨,45442579,3558072,4221,99.5万,14,341,10,298753人,都市言情
全球进入神话级精灵时代,2853580,935296,791,28.8万,59,0,10,63979人,玄幻奇幻
我的战舰能升级,13349228,7370536,2119,105.5万,206,0,10,528261人,科幻网游
四合院：咸鱼系统，谁惹坑谁,449091,20477,3,1788,12,0,10,1649人,都市言情
开局一血，杀系统祭天的我无敌了,621819,73758,7,15.4万,60,0,10,7779人,玄幻奇幻
四合院：秦淮茹，听说你上环了,563789,8563,1,200,5,0,10,1690人,同人小说
moba：从S3开始成中单噩梦,1351272,142306,65,52.7万,54,0,10,11532人,科幻网游
盗墓：吴老狗笔记，九门有个怪物,396201,18158,1,23万,19,0,10,1351人,都市言情
数码时代：开局神话黑亚古兽,625328,128917,39,8828,38,0,10,10589人,同人小说
从美漫开始的幕后黑手,6210030,739814,215,24.7万,43,0,10,77674人,同人小说
武侠剪辑：从长生不死神开始盘点,984956,129381,17,5.7万,46,0,10,9230人,武侠仙侠
发条魔灵收养我，开局扮演钢铁侠,404026,179769,116,2.8万,113,0,10,10201人,同人小说
王者：开局扮演阿离，我惊艳全网,535988,219854,136,2.3万,267,0,10,17906人,科幻网游
你有男闺蜜，我有女兄弟！,776624,87370,28,7688,39,0,10,8131人,都市言情
安然被抓，开坦克的我包围雇佣兵,1505278,240141,200,14.4万,40,1,10,14618人,军事历史
打击低配高价，我去越国开婚介所,2161438,863990,427,4.2万,91,1,10,40567人,都市言情
盗墓：我，开局收老胡胖子为小弟,2460614,543371,193,54.8万,44,0,10,45305人,同人小说
四合院，从会计员开始,1095806,53206,7,2600,9,0,10,5525人,都市言情
四合院：开局贾张氏要我腾房,1151384,45126,2,1600,3,0,10,4021人,同人小说
精灵：沉睡万年，被神榜唤醒！,554158,142515,104,5176,18,1,10,5259人,同人小说
开局上交冰河世纪，打造雪国列车,1492113,244966,42,99.5万,22,0,10,14254人,都市言情
武侠：我修仙的身份被曝光了,479599,39282,4,2600,13,0,10,3059人,武侠仙侠
普法：我就看了他一眼，也违法？,1529862,177676,100,6.5万,16,0,10,11016人,都市言情
让你改进军刀，没让你切坦克,2803904,193763,173,5264,5,0,10,9864人,都市言情
四合院：神级选择从坑贾婆婆开始,698161,36794,15,11.1万,2,0,10,2382人,同人小说
游戏王剪辑：盘点十大翻盘对局,937995,156773,153,6.7万,26,0,10,8150人,同人小说
请我做积木小游戏，我做我的世界,523873,21813,15,119.6万,26,0,10,2075人,都市言情
反派：给女主后妈当保镖,2015317,152605,43,44.8万,46,0,10,20852人,都市言情
寝室烧香，被误认为是算命先生,1061379,41196,29,2600,3,0,10,3344人,都市言情
我的弟子全是沙雕玩家,19840834,8536407,7601,709.7万,89,41,10,534618人,玄幻奇幻
四合院：你的报应就是我,2256176,252229,49,2876,4,0,10,14728人,都市言情
叫你代管研究所，星舰都试飞了？,1654781,166866,59,8764,21,1,10,17023人,军事历史
四合院特种兵：傻柱开局选择结婚,457314,47444,24,2.3万,44,0,10,3766人,同人小说
灭族之夜：让宇智波重新伟大起来,2562743,195341,44,8.9万,18,0,10,17189人,同人小说
四合院：逼我腾房，还想我捐款？,527210,62140,6,400,11,15,10,3617人,同人小说
四合院：天道神算，谁惹我坑死谁,896564,130154,5,59万,6,3,10,4217人,同人小说
洪荒：刚成混元大罗，洞府被挖了,549014,56133,26,33万,16,0,10,2849人,武侠仙侠
美食：我继承了一条小吃街,497605,63388,3,37.3万,44,0,10,4162人,都市言情
武侠：开局打造幕后黑手榜,10676000,1017274,457,3.9万,14,0,10,107756人,武侠仙侠
三国：曹家逆子，开局抢了邹氏,436899,48185,3,20.3万,49,2,10,3885人,军事历史
洪荒：开局修炼先天五太大罗法,509597,160234,3,15.2万,76,0,10,9938人,玄幻奇幻
疯了吧！你管这叫1级文明？,2202679,375748,270,53.4万,27,0,10,20929人,都市言情
Moba：人在EDG，致郁全球,3380158,379345,133,102.7万,34,0,10,26739人,科幻网游
人在精灵：天道酬勤的我光速变强,4821848,770552,131,5.7万,105,6,10,64872人,同人小说
四合院：别惹我，谁惹坑谁,2990081,568617,268,56.6万,21,2,10,37959人,都市言情
视频通万界，开局盘点十大孙悟空,5317938,637190,893,111.3万,16,0,10,34564人,玄幻奇幻
大明：老朱，你的外孙被人骗婚了！,1769333,223291,107,66.6万,24,0,10,16768人,军事历史
四合院:破碎的小丑,386268,101259,24,4276,37,0,10,4213人,同人小说
破案：我的眼睛变成了智能扫描仪,1534434,221354,14,28万,30,0,10,13797人,都市言情
终极系列：我肖自在，开局当班导,514139,61223,32,34.3万,35,0,10,5736人,同人小说
电竞渣男，开局连甩周姐两次！,1120465,94807,23,27.3万,27,0,10,6824人,科幻网游
原神：我岩王帝君,2256150,229338,166,3.2万,40,0,10,21832人,同人小说
精灵剪辑：盘点十大最强神兽！！,944929,83225,20,3万,26,0,10,7695人,同人小说
播放动漫名场面，开局砸瓦鲁多！,2888149,214618,261,62.3万,43,0,10,17646人,同人小说
美漫：我的武仙身份被曝光了,597559,23682,8,18.1万,18,0,10,2406人,同人小说
数码：从光丘事件开始,1188462,311253,99,1.4万,102,0,10,24634人,同人小说
视频通动漫：剪辑最燃国漫瞬间！,1018002,52385,57,9352,26,0,10,5766人,同人小说
万界入侵：天帝的我，被地球召唤,1428003,269366,108,32.5万,20,0,10,17222人,玄幻奇幻
给我爹烧纸，造成了地府货币膨胀,911028,128087,27,59万,15,0,10,8221人,恐怖灵异
开局假装倾家荡产，我看透了人心,2498232,247081,29,1.1万,37,0,10,15075人,都市言情
四合院：这个坑王，没人惹得起,964061,104168,7,25.2万,16,0,10,4500人,同人小说
反派：女主看了我剪辑，人设崩了,384692,41728,16,17.4万,19,0,10,2976人,都市言情
从大树开始的进化,37396536,6951953,5761,334.9万,27,200,10,745436人,都市言情
四合院：我真的只想做个路人甲,1077664,81257,12,5.2万,31,0,10,12012人,同人小说
moba：让你背锅，你怎么就成FMVP了,2699097,455077,158,91.9万,20,0,10,21099人,科幻网游
人在食戟：开局一座深夜食堂,478355,125694,14,9664,68,0,10,9424人,同人小说
刚成赛迦，老婆卡尔蜜拉,492544,43593,22,8252,23,0,10,4902人,同人小说
四合院：开局觉醒神级选择系统,540903,11426,2,100,0,0,10,1541人,同人小说
四合院：谁道德绑架我，坑死谁,437773,21014,6,100,10,0,10,1906人,同人小说
末世直播：开局交易光刻机,1871952,514417,454,93.8万,87,0,10,33270人,恐怖灵异
特工：开局震惊郑耀先,5007933,970226,314,22.4万,19,2,10,46835人,军事历史
红楼：我真没想造反啊,579778,97533,49,1.8万,104,0,10,11238人,军事历史
洪荒：女儿，你竟然是天道？,3630243,420979,390,116.9万,25,0,10,26309人,玄幻奇幻
编造世界：开局打造三体入侵,603856,115975,39,7728,104,0,10,8821人,同人小说
我，武大郎，还是娶了潘金莲,2327950,410196,155,258万,37,0,10,26541人,军事历史
加入聊天群的我，榨干了群员！,2419166,186271,41,2.5万,37,1,10,30202人,同人小说
我！刘星，开局秀翻全班,1530841,413583,100,3.1万,184,3,10,34711人,都市言情
虚圈斩虚百年，蓝染请我出山！,1898810,161139,93,33万,21,2,10,12482人,同人小说
都市：偶遇悍匪，我掏出自动步枪,1277509,58189,60,2476,8,0,10,4146人,都市言情
军训之后，我在股市杀疯了！,2015426,275497,92,211.4万,33,0,10,8846人,都市言情
鹰酱只是吹牛逼？那我研发的是啥,993771,27906,2,16.4万,3,0,10,2362人,都市言情
港综：我总华探长，给港岛立规矩,461002,20629,0,14.1万,11,0,10,3333人,同人小说
洪荒：我，食人树，身化禁区,2155975,197098,18,26.3万,24,1,10,18559人,玄幻奇幻
微型世界：我被当成了太古神明,6848708,843544,322,4.4万,30,6,10,94155人,玄幻奇幻
开局融合五条悟，被校花曝光了!,967713,310905,20,187.7万,24,0,10,10759人,都市言情
洪荒阐教：大师兄饶命！,1667218,104487,37,54.2万,12,1,10,6161人,玄幻奇幻
综武：开局签到十万大军,4053423,980589,532,3.5万,48,0,10,80070人,武侠仙侠
武当摸鱼十年，六大派把我曝光了,459159,18667,0,11万,4,0,10,2507人,武侠仙侠
夫人，你竟然是魔教教主？,3324241,700947,498,7.9万,27,2,10,37253人,武侠仙侠
直播：开局逛地府，吓坏水友们,1720309,909142,724,38.2万,62,0,10,50854人,都市言情
伟大航路的龙骑士,3867770,809151,161,13万,48,0,10,69937人,同人小说
反派：恐怖世界？我家全是邪神！,556140,109913,42,34.2万,123,0,10,14801人,都市言情
国运探险，开局拐走baby5,1165743,188575,60,34万,72,0,10,16758人,同人小说
忍界剪辑：开局盘点十大友情,1164448,30925,36,7300,31,0,10,3898人,同人小说
洪荒：开局无限灌顶至神话大罗,621038,116139,10,40.2万,13,0,10,3683人,玄幻奇幻
四合院：禽兽，接受雷神的惩罚！,1177692,101433,19,3864,5,0,10,8879人,同人小说
四合院：开局救下自己的妻子,431985,12256,0,100,0,0,10,602人,同人小说
NBA：回到84，我成乔丹宿敌,2023017,392113,70,19.6万,23,0,10,35885人,科幻网游
科技，推翻奥丁统治,505533,111197,16,8088,33,0,10,7216人,科幻网游
moba：我，峡谷喜剧人,2056885,286335,26,55.4万,18,0,10,13617人,科幻网游
全民原神：只有我加载钟离模板！,584037,190249,17,45.3万,18,0,10,8962人,玄幻奇幻
剪辑死亡名场面：开局萝莉之死！,1177054,118015,36,31.7万,24,0,10,7351人,同人小说
四合院：逐我出门，还想我接济？,1289965,248999,56,4776,7,0,10,9383人,同人小说
四合院：开局傻柱进牢房,2060207,341810,333,96万,29,5,10,29957人,同人小说
棒梗血癌，全院都让我女儿捐骨髓,405363,10559,6,51.1万,1,1,10,2430人,同人小说
朱元璋遗嘱：咱还有个儿子,299922,21730,5,23万,4,0,10,891人,军事历史
网游武侠：开局获得万剑归宗,2469727,619145,101,1.9万,60,1,10,45460人,科幻网游
盗墓：我有黄金瞳,853653,355975,24,1.2万,64,0,10,19552人,同人小说
扮演黑龙天，开局被白胡子震醒,870966,145175,205,1.1万,22,0,10,10286人,同人小说
洪荒：为什么主角都想夺舍我,728329,74339,34,43.9万,75,0,10,7278人,武侠仙侠
四合院：开局众禽算计我房产,368452,11975,1,200,3,0,10,1173人,同人小说
谢邀，人在箱庭，刚刚成神,20187961,5775186,1090,23.6万,100,6,10,645281人,同人小说
开局选择十冷河神，银河也是河哟,1134719,48378,61,1.9万,4,0,10,4090人,都市言情
御兽时代：我可以召唤无尽虫灾！,629492,107729,28,89.4万,17,0,10,5644人,玄幻奇幻
黑暗神��：我被当成了至高神明,1559538,233796,48,86.9万,37,0,10,18141人,玄幻奇幻
都市：我能预知金融走势,945488,95844,73,14.1万,36,0,10,7834人,都市言情
娱乐：这辈子第一次这么多歌词！,1328710,159109,35,7864,9,0,10,11863人,都市言情
都市：开局武道金丹，横扫主角,2136427,382245,80,16.4万,17,0,10,19124人,都市言情
妖精公会里的最强生物,2238891,137345,136,1.2万,11,0,10,13586人,同人小说
直播：一辆房车和呆小妹旅游开始,4615893,1391245,602,8.1万,27,9,10,63125人,都市言情
造出空天母舰后，老外却说这只是特效？,758908,17599,8,120.1万,10,0,10,1319人,科幻网游
美漫：我，创建了假面财团x！,693493,173459,19,7852,56,0,10,11374人,同人小说
四合院：开局满级医术,4996647,372132,39,1.5万,11,0,10,26018人,都市言情
洪荒：被羲和休了后，我黑化入魔,434596,26229,11,23.2万,14,0,10,2676人,玄幻奇幻
大明：爹，我当皇帝，你当大将军,1482294,96610,13,30.1万,8,0,10,6187人,军事历史
综漫：转生无数世界,963990,104408,48,4788,49,0,10,16888人,同人小说
末日：开局我种的向日葵变异了,1798620,406338,70,146.1万,43,3,10,31853人,轻小说
人在玄幻，开局退婚气运之女,6135487,535603,261,36.5万,67,5,10,67843人,玄幻奇幻
四合院：棒梗偷鸡，我掏出了枪,855227,35945,15,20万,2,0,10,2525人,都市言情
四合院：开局坑死棒梗和贾婆婆,3152710,228933,230,3788,4,0,10,12685人,同人小说
娱乐：我的女团爆红了！,703940,221900,358,2.4万,70,1,10,19141人,都市言情
